prompt,intent,theme,cycle_phase,Hindi Translation,Tamil Translation,Bengali Translation,Marathi Translation,Hinglish Translation
How can you reframe the thought that your body feels out of sync?,stress_relief,Hormonal stress,menstruation,आप इस विचार को कैसे रोक सकते हैं कि आपका शरीर सिंक से बाहर महसूस करता है?,உங்கள் உடல் ஒத்திசைவிலிருந்து உணர்கிறது என்ற எண்ணத்தை எவ்வாறு மறுபரிசீலனை செய்யலாம்?,আপনার শরীর সিঙ্কের বাইরে অনুভব করে এমন চিন্তাকে আপনি কীভাবে প্রত্যাখ্যান করতে পারেন?,आपल्या शरीराला समक्रमित झाल्यासारखे वाटत असलेल्या विचारांचे आपण कसे पुन्हा वर्णन करू शकता?,Aap kaise soch ko punah vyakhya karenge ki aapka sharir sync se bahar mehsoos ho raha hai?
Think of a time you overcame your mood changes suddenly. What helped?,body_acceptance,PMS mood swings,post-period,उस समय के बारे में सोचें जब आप अपने मूड में अचानक बदल जाते हैं। क्या मदद की?,உங்கள் மனநிலை மாற்றங்களை திடீரென்று நீங்கள் வென்ற நேரத்தை நினைத்துப் பாருங்கள். என்ன உதவியது?,হঠাৎ আপনার মেজাজের পরিবর্তনগুলি কাটিয়ে উঠার সময়টি ভাবুন। কি সাহায্য করেছে?,आपण आपल्या मूडमध्ये अचानक बदल केल्याच्या वेळेचा विचार करा. काय मदत केली?,Socho ek samay jab aapne apne mood changes ko achanak par kar liya tha. Kya madad ki thi?
"If this were a recurring pattern, how might you prepare for it emotionally?",mood_reframe,PMS mood swings,pre-period,"यदि यह एक आवर्ती पैटर्न था, तो आप इसे भावनात्मक रूप से कैसे तैयार कर सकते हैं?","இது தொடர்ச்சியான வடிவமாக இருந்தால், அதற்காக நீங்கள் எவ்வாறு உணர்ச்சிவசப்படலாம்?",যদি এটি একটি পুনরাবৃত্তি প্যাটার্ন হয় তবে আপনি কীভাবে এটি আবেগগতভাবে প্রস্তুত করতে পারেন?,जर ही पुनरावृत्ती होणारी पद्धत असेल तर आपण भावनिकदृष्ट्या त्यासाठी कशी तयार करू शकता?,"Agar yeh ek baar baar hone wala pattern hota, toh aap iske liye emotionally kaise tayari karte?"
How does your body feel when you're thinking about you feel irritable for no reason?,mood_reframe,Hormonal stress,pre-period,जब आप बिना किसी कारण के चिड़चिड़ा महसूस कर रहे हैं तो आपका शरीर कैसा महसूस करता है?,உங்களைப் பற்றி நீங்கள் நினைக்கும் போது எந்த காரணமும் இல்லாமல் எரிச்சலூட்டுவதாக உணரும்போது உங்கள் உடல் எப்படி உணர்கிறது?,আপনি যখন অকারণে বিরক্ত বোধ করছেন তখন আপনার শরীর কেমন অনুভব করে?,जेव्हा आपण विनाकारण आपल्याबद्दल विचार करता तेव्हा आपल्या शरीराला कसे वाटते?,"Jab aap sochte hain ki aapko bina kisi wajah ke chidchidapan mehsoos ho raha hai, toh aapka sharir kaisa mehsoos hota hai?"
What evidence do you have that supports or challenges the thought that you feel uncomfortable in your body?,body_acceptance,Body image and self-esteem issues,pre-period,आपके पास क्या सबूत है जो इस विचार का समर्थन या चुनौती देता है कि आप अपने शरीर में असहज महसूस करते हैं?,உங்கள் உடலில் நீங்கள் சங்கடமாக இருக்கும் எண்ணத்தை ஆதரிக்கும் அல்லது சவால் செய்யும் என்ன ஆதாரம் உங்களிடம் உள்ளது?,আপনার কী প্রমাণ রয়েছে যা আপনার শরীরে অস্বস্তি বোধ করে এমন চিন্তাকে সমর্থন করে বা চ্যালেঞ্জ করে?,आपल्या शरीरात आपल्याला अस्वस्थ वाटेल या विचारांना पाठिंबा किंवा आव्हान देणारे आपल्याकडे कोणते पुरावे आहेत?,Aapke paas kya saboot hai jo yeh soch ko samarthan karta hai ya challenge karta hai ki aap apne sharir mei asuvidha mehsoos karte hai?
What evidence do you have that supports or challenges the thought that you feel overwhelmed by emotional shifts?,body_acceptance,PMS mood swings,pre-period,आपके पास क्या सबूत है जो इस विचार का समर्थन या चुनौती देता है कि आप भावनात्मक बदलावों से अभिभूत महसूस करते हैं?,உணர்ச்சி மாற்றங்களால் நீங்கள் அதிகமாக உணரப்படும் எண்ணத்தை ஆதரிக்கும் அல்லது சவால் செய்யும் என்ன ஆதாரம் உங்களிடம் உள்ளது?,আপনার কী প্রমাণ রয়েছে যা সংবেদনশীল পরিবর্তন দেখে আপনি অভিভূত বোধ করেন এমন চিন্তাকে সমর্থন বা চ্যালেঞ্জ করে?,भावनिक बदलांमुळे आपण भारावून गेलेल्या विचारांना पाठिंबा किंवा आव्हान देणारे आपल्याकडे कोणते पुरावे आहेत?,Aapke paas kya saboot hai jo yeh soch ko samarthan dete hain ya challenge karte hain ki aapko bhavnatmak parivartan se behad ghabrahat ho rahi hai?
How does your body feel when you're thinking about you feel overwhelmed by emotional shifts?,stress_relief,PMS mood swings,pre-period,जब आप सोच रहे हैं कि आप भावनात्मक बदलावों से अभिभूत महसूस करते हैं तो आपका शरीर कैसा महसूस करता है?,"உங்களைப் பற்றி நீங்கள் நினைக்கும் போது உங்கள் உடல் எப்படி உணர்கிறது, உணர்ச்சி மாற்றங்களால் அதிகமாக உணரப்படுகிறது?",আপনি যখন সংবেদনশীল শিফটগুলি দ্বারা অভিভূত বোধ করেন তখন আপনার শরীরটি কেমন অনুভব করে?,जेव्हा आपण भावनिक बदलांमुळे भारावून जाणता तेव्हा आपण आपल्या शरीराला कसे वाटते?,Tumhare sharir ko kaisa mehsoos hota hai jab tum sochte ho ki tumhe bhavnatmak parivartan se behad jyada pareshan ho?
"If this were a recurring pattern, how might you prepare for it emotionally?",body_acceptance,Body image and self-esteem issues,pre-period,"यदि यह एक आवर्ती पैटर्न था, तो आप इसे भावनात्मक रूप से कैसे तैयार कर सकते हैं?","இது தொடர்ச்சியான வடிவமாக இருந்தால், அதற்காக நீங்கள் எவ்வாறு உணர்ச்சிவசப்படலாம்?",যদি এটি একটি পুনরাবৃত্তি প্যাটার্ন হয় তবে আপনি কীভাবে এটি আবেগগতভাবে প্রস্তুত করতে পারেন?,जर ही पुनरावृत्ती होणारी पद्धत असेल तर आपण भावनिकदृष्ट्या त्यासाठी कशी तयार करू शकता?,"Agar yeh ek baar baar hone wala pattern hota, toh aap iske liye emotionally kaise tayyar hote?"
What evidence do you have that supports or challenges the thought that your body feels out of sync?,stress_relief,Hormonal stress,post-period,आपके पास क्या सबूत है जो इस विचार का समर्थन या चुनौती देता है कि आपका शरीर सिंक से बाहर महसूस करता है?,உங்கள் உடல் ஒத்திசைவிலிருந்து உணர்கிறது என்ற எண்ணத்தை ஆதரிக்கும் அல்லது சவால் செய்யும் என்ன ஆதாரம் உங்களிடம் உள்ளது?,আপনার কী প্রমাণ রয়েছে যা আপনার শরীরকে সিঙ্কের বাইরে অনুভব করে এমন চিন্তাকে সমর্থন করে বা চ্যালেঞ্জ করে?,आपल्या शरीराला समक्रमित होण्याच्या विचारांना पाठिंबा किंवा आव्हान देणारे आपल्याकडे कोणते पुरावे आहेत?,Aapke paas kya saboot hai jo yeh vichar samarthan karta hai ya challenge karta hai ki aapka sharir sync se bahar mehsoos ho raha hai?
"If this were a recurring pattern, how might you prepare for it emotionally?",body_acceptance,PMS mood swings,pre-period,"यदि यह एक आवर्ती पैटर्न था, तो आप इसे भावनात्मक रूप से कैसे तैयार कर सकते हैं?","இது தொடர்ச்சியான வடிவமாக இருந்தால், அதற்காக நீங்கள் எவ்வாறு உணர்ச்சிவசப்படலாம்?",যদি এটি একটি পুনরাবৃত্তি প্যাটার্ন হয় তবে আপনি কীভাবে এটি আবেগগতভাবে প্রস্তুত করতে পারেন?,जर ही पुनरावृत्ती होणारी पद्धत असेल तर आपण भावनिकदृष्ट्या त्यासाठी कशी तयार करू शकता?,"Agar yeh ek baar baar hone wala pattern hota, toh aap emotionally iske liye kaise tayari karte?"
Whatâ€™s another way to look at the fact that you feel overwhelmed by emotional shifts?,body_acceptance,PMS mood swings,post-period,इस तथ्य को देखने का एक और तरीका क्या है कि आप भावनात्मक बदलावों से अभिभूत महसूस करते हैं?,உணர்ச்சி மாற்றங்களால் நீங்கள் அதிகமாக உணர்கிறீர்கள் என்ற உண்மையைப் பார்க்க மற்றொரு வழி என்ன?,সংবেদনশীল শিফটে আপনি অভিভূত বোধ করছেন এই সত্যটি দেখার আর কী উপায়?,भावनिक बदलांमुळे आपण भारावून गेलेल्या गोष्टीकडे पाहण्याचा आणखी एक मार्ग कोणता आहे?,Tumhein emotional shifts se overwhelmed feel karne ki baat ko kisi aur tareeke se kaise dekha jaa sakta hai?
Can you identify a small step to handle you feel overwhelmed by emotional shifts?,body_acceptance,PMS mood swings,menstruation,क्या आप भावनात्मक बदलावों से अभिभूत महसूस करने के लिए एक छोटे से कदम की पहचान कर सकते हैं?,உணர்ச்சி மாற்றங்களால் நீங்கள் அதிகமாக உணரக்கூடிய ஒரு சிறிய படியை அடையாளம் காண முடியுமா?,সংবেদনশীল শিফট দ্বারা আপনি অভিভূত বোধ করতে আপনি একটি ছোট পদক্ষেপ সনাক্ত করতে পারেন?,भावनिक बदलांमुळे आपण भारावून गेलेल्या भावना हाताळण्यासाठी आपण एक लहान पाऊल ओळखू शकता?,"Kya aap ek chhota kadam pehchan sakte hain jisse aapko bhavnatmak parivartan se ghabrahat mehsoos ho rahi hai, usse sambhal saken?"
What evidence do you have that supports or challenges the thought that you feel emotionally low?,mood_reframe,Anxiety and low mood during periods,menstruation,आपके पास क्या सबूत है जो इस विचार का समर्थन या चुनौती देता है कि आप भावनात्मक रूप से कम महसूस करते हैं?,நீங்கள் உணர்ச்சி ரீதியாக குறைவாக உணர்கிறீர்கள் என்ற எண்ணத்தை ஆதரிக்கும் அல்லது சவால் செய்யும் என்ன ஆதாரங்கள் உங்களிடம் உள்ளன?,আপনার কী প্রমাণ রয়েছে যা আপনি আবেগগতভাবে কম বোধ করেন এই চিন্তাকে সমর্থন বা চ্যালেঞ্জ করে?,आपल्याकडे असे कोणते पुरावे आहेत जे आपल्याला भावनिकदृष्ट्या कमी वाटतात या विचारांना समर्थन देतात किंवा आव्हान देतात?,Tumhare paas kya saboot hai jo tumhara vichar samarthan karta hai ya challenge karta hai ki tum emotionally low mehsoos kar rahe ho?
How can you reframe the thought that youâ€™re feeling anxious and tired?,stress_relief,Anxiety and low mood during periods,pre-period,आप इस विचार को कैसे रोक सकते हैं कि आप चिंतित और थका हुआ महसूस कर रहे हैं?,நீங்கள் ஆர்வமாகவும் சோர்வாகவும் உணர்கிறீர்கள் என்ற எண்ணத்தை எவ்வாறு மறுபரிசீலனை செய்யலாம்?,আপনি কীভাবে উদ্বিগ্ন এবং ক্লান্ত বোধ করছেন এই চিন্তাকে আপনি কীভাবে পুনর্বিবেচনা করতে পারেন?,आपण चिंताग्रस्त आणि थकल्यासारखे आहात या विचारांचे आपण कसे पुन्हा मत देऊ शकता?,Aap kaise soch ko punah frame kar sakte hain ki aapko chinta aur thakan mehsoos ho rahi hai?
Think of a time you overcame your body feels out of sync. What helped?,mood_reframe,Hormonal stress,pre-period,उस समय के बारे में सोचें जब आप अपने शरीर को सिंक से बाहर महसूस करते हैं। क्या मदद की?,உங்கள் உடலை ஒத்திசைக்காத ஒரு நேரத்தைப் பற்றி யோசித்துப் பாருங்கள். என்ன உதவியது?,আপনি আপনার শরীরকে সিঙ্কের বাইরে অনুভব করার সময়টি কাটিয়ে ওঠার কথা ভাবেন। কি সাহায্য করেছে?,आपण आपल्या शरीराला समक्रमित झाल्यासारख्या वेळेचा विचार करा. काय मदत केली?,Socho ek samay ke baare mein jab aapne apne sharir ko asamanjasya se bahar nikala. Kya madad ki?
Can you identify a small step to handle your body feels out of sync?,mood_reframe,Hormonal stress,menstruation,क्या आप अपने शरीर को संभालने के लिए एक छोटे कदम की पहचान कर सकते हैं?,உங்கள் உடலைக் கையாள ஒரு சிறிய படியை அடையாளம் காண முடியுமா?,আপনি কি আপনার শরীরকে সিঙ্কের বাইরে অনুভব করার জন্য একটি ছোট পদক্ষেপ সনাক্ত করতে পারেন?,आपण आपल्या शरीरास समक्रमित झाल्यासारखे वाटत असलेल्या एक लहान पाऊल ओळखू शकता?,Kya aap apne sharir ko sync se bahar mahsoos karne ke liye ek chota kadam pehchan sakte hain?
"If this were a recurring pattern, how might you prepare for it emotionally?",mood_reframe,Body image and self-esteem issues,pre-period,"यदि यह एक आवर्ती पैटर्न था, तो आप इसे भावनात्मक रूप से कैसे तैयार कर सकते हैं?","இது தொடர்ச்சியான வடிவமாக இருந்தால், அதற்காக நீங்கள் எவ்வாறு உணர்ச்சிவசப்படலாம்?",যদি এটি একটি পুনরাবৃত্তি প্যাটার্ন হয় তবে আপনি কীভাবে এটি আবেগগতভাবে প্রস্তুত করতে পারেন?,जर ही पुनरावृत्ती होणारी पद्धत असेल तर आपण भावनिकदृष्ट्या त्यासाठी कशी तयार करू शकता?,"Agar yeh ek baar baar hone wala pattern hota, toh aap iske liye emotionally kaise tayyar hote?"
How does your body feel when you're thinking about youâ€™re feeling anxious and tired?,stress_relief,Anxiety and low mood during periods,post-period,जब आप चिंतित और थके हुए महसूस कर रहे हैं तो आपका शरीर कैसा महसूस करता है?,நீங்கள் ஆர்வமாகவும் சோர்வாகவும் உணர்கிறீர்கள் என்று நினைக்கும் போது உங்கள் உடல் எப்படி உணர்கிறது?,আপনি যখন উদ্বিগ্ন এবং ক্লান্ত বোধ করছেন তখন আপনার শরীরটি কেমন অনুভব করে?,आपण चिंताग्रस्त आणि थकल्यासारखे वाटत असताना आपल्या शरीराला कसे वाटते?,Tumhare sharir ko kaisa lagta hai jab tum sochte ho ki tumhe chinta aur thakan mehsoos ho rahi hai?
What might change if you were a little kinder to yourself about you feel uncomfortable in your body?,mood_reframe,Body image and self-esteem issues,pre-period,यदि आप अपने शरीर में असहज महसूस करते हैं तो आप अपने आप के लिए थोड़े दयालु थे?,உங்கள் உடலில் நீங்கள் சங்கடமாக உணர்ந்ததைப் பற்றி நீங்கள் கொஞ்சம் கனிவாக இருந்தால் என்ன மாறக்கூடும்?,আপনি যদি নিজের শরীরে অস্বস্তি বোধ করেন সে সম্পর্কে আপনি নিজের প্রতি একটু দয়ালু হন তবে কী পরিবর্তন হতে পারে?,आपण आपल्या शरीरात अस्वस्थ आहात याबद्दल स्वत: साठी थोडे दयाळू असल्यास काय बदलू शकते?,"Agar aap apne aapko thoda aur samjhaate, agar aapko apne sharir mein asuvidha mehsoos hoti hai, to kya badlav ho sakta hai?"
What are 2 small actions you could take to feel better about your mood changes suddenly?,body_acceptance,PMS mood swings,menstruation,अचानक अपने मूड में बदलाव के बारे में बेहतर महसूस करने के लिए आप क्या कर सकते हैं?,திடீரென்று உங்கள் மனநிலை மாற்றங்களைப் பற்றி நன்றாக உணர நீங்கள் எடுக்கக்கூடிய 2 சிறிய செயல்கள் யாவை?,হঠাৎ আপনার মেজাজের পরিবর্তনগুলি সম্পর্কে আরও ভাল বোধ করতে আপনি 2 টি ছোট ক্রিয়া কী কী?,आपल्या मूडच्या बदलांविषयी अचानक चांगले वाटण्यासाठी आपण काय करू शकता अशा 2 लहान क्रिया काय आहेत?,Aapke mood changes se behtar mehsoos karne ke liye aap do chote kadam kaun se utha sakte hain jo achanak badle?
What might change if you were a little kinder to yourself about your body feels out of sync?,stress_relief,Hormonal stress,menstruation,यदि आप अपने शरीर के बारे में अपने आप के लिए थोड़े दयालु थे तो क्या बदल सकता है?,உங்கள் உடலைப் பற்றி நீங்களே கொஞ்சம் கனிவானவராக இருந்தால் என்ன மாறக்கூடும்?,আপনি যদি নিজের শরীর সম্পর্কে নিজের সাথে কিছুটা দয়ালু হয়ে থাকেন তবে কী পরিবর্তন হতে পারে?,आपण आपल्या शरीराला समक्रमित झाल्यासारखे वाटत असल्यास आपण स्वत: चे थोडे दयाळू असाल तर काय बदलू शकते?,Agar aap apne sharir ke sambandh mein thoda aur dayalu ho jate toh kya badlav ho sakta hai jo ki sync se bahar mehsoos ho raha hai?
Can you identify a small step to handle you feel overwhelmed by emotional shifts?,mood_reframe,PMS mood swings,pre-period,क्या आप भावनात्मक बदलावों से अभिभूत महसूस करने के लिए एक छोटे से कदम की पहचान कर सकते हैं?,உணர்ச்சி மாற்றங்களால் நீங்கள் அதிகமாக உணரக்கூடிய ஒரு சிறிய படியை அடையாளம் காண முடியுமா?,সংবেদনশীল শিফট দ্বারা আপনি অভিভূত বোধ করতে আপনি একটি ছোট পদক্ষেপ সনাক্ত করতে পারেন?,भावनिक बदलांमुळे आपण भारावून गेलेल्या भावना हाताळण्यासाठी आपण एक लहान पाऊल ओळखू शकता?,Kya aap ek chhota kadam pehchan sakte hain jab aapko bhavnatmak badlavon se ghabrahat mehsoos ho?
Think of a time you overcame your mood changes suddenly. What helped?,body_acceptance,PMS mood swings,post-period,उस समय के बारे में सोचें जब आप अपने मूड में अचानक बदल जाते हैं। क्या मदद की?,உங்கள் மனநிலை மாற்றங்களை திடீரென்று நீங்கள் வென்ற நேரத்தை நினைத்துப் பாருங்கள். என்ன உதவியது?,হঠাৎ আপনার মেজাজের পরিবর্তনগুলি কাটিয়ে উঠার সময়টি ভাবুন। কি সাহায্য করেছে?,आपण आपल्या मूडमध्ये अचानक बदल केल्याच्या वेळेचा विचार करा. काय मदत केली?,Socho ek samay jab aapne achanak apne mood changes ko par kiya. Kya madad ki thi?
"If this were a recurring pattern, how might you prepare for it emotionally?",body_acceptance,Body image and self-esteem issues,post-period,"यदि यह एक आवर्ती पैटर्न था, तो आप इसे भावनात्मक रूप से कैसे तैयार कर सकते हैं?","இது தொடர்ச்சியான வடிவமாக இருந்தால், அதற்காக நீங்கள் எவ்வாறு உணர்ச்சிவசப்படலாம்?",যদি এটি একটি পুনরাবৃত্তি প্যাটার্ন হয় তবে আপনি কীভাবে এটি আবেগগতভাবে প্রস্তুত করতে পারেন?,जर ही पुनरावृत्ती होणारी पद्धत असेल तर आपण भावनिकदृष्ट्या त्यासाठी कशी तयार करू शकता?,"Agar yeh ek baar baar hone wali pattern hoti, toh aap emotionally uske liye kaise tayari kar sakte hain?"
What might change if you were a little kinder to yourself about you feel uncomfortable in your body?,body_acceptance,Body image and self-esteem issues,menstruation,यदि आप अपने शरीर में असहज महसूस करते हैं तो आप अपने आप के लिए थोड़े दयालु थे?,உங்கள் உடலில் நீங்கள் சங்கடமாக உணர்ந்ததைப் பற்றி நீங்கள் கொஞ்சம் கனிவாக இருந்தால் என்ன மாறக்கூடும்?,আপনি যদি নিজের শরীরে অস্বস্তি বোধ করেন সে সম্পর্কে আপনি নিজের প্রতি একটু দয়ালু হন তবে কী পরিবর্তন হতে পারে?,आपण आपल्या शरीरात अस्वस्थ आहात याबद्दल स्वत: साठी थोडे दयाळू असल्यास काय बदलू शकते?,"Agar aap apne aap ko thoda aur pyaar dete huye apne sharir meh asuvidha mehsus karne ke baare mein sochte, toh kya badlav ho sakta hai?"
Whatâ€™s another way to look at the fact that your body feels out of sync?,body_acceptance,Hormonal stress,pre-period,इस तथ्य को देखने का एक और तरीका क्या है कि आपका शरीर सिंक से बाहर लगता है?,உங்கள் உடல் ஒத்திசைவை உணர்கிறது என்ற உண்மையைப் பார்க்க மற்றொரு வழி என்ன?,আপনার শরীর সিঙ্ক থেকে বেরিয়ে আসা এই সত্যটি দেখার আর কী উপায়?,आपल्या शरीराला समक्रमित झाल्यासारखे वाटते हे पाहण्याचा आणखी एक मार्ग कोणता आहे?,Tumhare sharir ko sync se bahar mehsus karne ki tathya ko dekhne ka ek aur kya tareeka ho sakta hai?
Whatâ€™s another way to look at the fact that your body feels out of sync?,body_acceptance,Hormonal stress,menstruation,इस तथ्य को देखने का एक और तरीका क्या है कि आपका शरीर सिंक से बाहर लगता है?,உங்கள் உடல் ஒத்திசைவை உணர்கிறது என்ற உண்மையைப் பார்க்க மற்றொரு வழி என்ன?,আপনার শরীর সিঙ্ক থেকে বেরিয়ে আসা এই সত্যটি দেখার আর কী উপায়?,आपल्या शरीराला समक्रमित झाल्यासारखे वाटते हे पाहण्याचा आणखी एक मार्ग कोणता आहे?,Tumhare sharir ke sync se bahar hone ki baat ko hum aur kis nazariye se dekh sakte hain?
What would you say to a friend who is struggling with you feel irritable for no reason?,stress_relief,Hormonal stress,pre-period,"आप एक दोस्त से क्या कहेंगे जो आपके साथ संघर्ष कर रहा है, बिना किसी कारण के चिड़चिड़ा महसूस कर रहा है?",உங்களுடன் போராடும் நண்பரிடம் எந்த காரணமும் இல்லாமல் எரிச்சலூட்டுவதாக உணருவீர்கள்?,আপনার সাথে লড়াই করে এমন কোনও বন্ধুকে আপনি কী বলবেন যে অকারণে বিরক্ত বোধ করছেন?,आपल्याशी संघर्ष करणार्‍या मित्राला विनाकारण चिडचिडेपणा वाटणार्‍या मित्राला आपण काय म्हणाल?,Tum kya kahoge ek dost se jo tumhare saath sangharsh kar raha hai jab tum bina kisi wajah ke chidchide mehsoos kar rahe ho?
How can you reframe the thought that your mood changes suddenly?,mood_reframe,PMS mood swings,menstruation,आप इस विचार को कैसे रोक सकते हैं कि आपका मूड अचानक बदल जाता है?,உங்கள் மனநிலை திடீரென்று மாறுகிறது என்ற எண்ணத்தை எவ்வாறு மறுபரிசீலனை செய்யலாம்?,আপনার মেজাজ হঠাৎ পরিবর্তিত এই চিন্তাকে আপনি কীভাবে প্রত্যাখ্যান করতে পারেন?,आपला मनःस्थिती अचानक बदलते या विचारांचे आपण कसे पुन्हा मत देऊ शकता?,Aap kaise soch ko badal sakte hain ki aapka mood achanak kaise badal jaata hai?
What would you say to a friend who is struggling with you feel uncomfortable in your body?,mood_reframe,Body image and self-esteem issues,post-period,आप एक दोस्त से क्या कहेंगे जो आपके साथ संघर्ष कर रहा है वह आपके शरीर में असहज महसूस करता है?,உங்களுடன் போராடும் நண்பரிடம் உங்கள் உடலில் சங்கடமாக இருப்பதற்கு நீங்கள் என்ன சொல்வீர்கள்?,আপনার সাথে লড়াই করে এমন কোনও বন্ধুকে আপনি কী বলবেন যে আপনার শরীরে অস্বস্তি বোধ করছেন?,आपल्या शरीरात अस्वस्थ वाटणार्‍या मित्राला आपण काय म्हणाल?,"Agar tumhara dost tumse mushkil mein hai kyun ki woh apne sharir mein asahaj mehsoos kar raha hai, toh tum usse kya kahoge?"
Can you identify a small step to handle you feel emotionally low?,stress_relief,Anxiety and low mood during periods,post-period,क्या आप भावनात्मक रूप से कम महसूस करने के लिए एक छोटे कदम की पहचान कर सकते हैं?,நீங்கள் உணர்ச்சிவசப்படுவதைக் கையாள ஒரு சிறிய படியை அடையாளம் காண முடியுமா?,আপনি আবেগগতভাবে কম বোধ করতে আপনি একটি ছোট পদক্ষেপ সনাক্ত করতে পারেন?,आपल्याला भावनिकदृष्ट्या कमी वाटेल असे हाताळण्यासाठी आपण एक लहान पाऊल ओळखू शकता?,"Kya aap ek chhoti si kadam pehchan sakte hain, jab aapko emotionally low feel hota hai, usse sambhalne ke liye?"
Think of a time you overcame you feel overwhelmed by emotional shifts. What helped?,mood_reframe,PMS mood swings,pre-period,उस समय के बारे में सोचें जब आप भावनात्मक बदलावों से अभिभूत महसूस करते हैं। क्या मदद की?,உணர்ச்சி மாற்றங்களால் நீங்கள் அதிகமாக உணர்கிறீர்கள் என்று நீங்கள் வென்ற நேரத்தை நினைத்துப் பாருங்கள். என்ன உதவியது?,আপনি যে সময়টি কাটিয়ে উঠেছেন তা আপনি সংবেদনশীল শিফট দেখে অভিভূত বোধ করেন সে সম্পর্কে ভাবেন। কি সাহায্য করেছে?,भावनिक बदलांमुळे आपण भारावून गेलेल्या वेळेचा विचार करा. काय मदत केली?,Socho ek samay ke baare mein jab aapne apne aapko bhavnatmak parivartan se abhibhoot mehsoos karke usse paar kiya. Kya madad ki?
Can you identify a small step to handle youâ€™re feeling anxious and tired?,body_acceptance,Anxiety and low mood during periods,menstruation,क्या आप चिंतित और थके हुए महसूस करने के लिए एक छोटे से कदम की पहचान कर सकते हैं?,நீங்கள் ஆர்வமாகவும் சோர்வாகவும் இருப்பதைக் கையாள ஒரு சிறிய படியை அடையாளம் காண முடியுமா?,আপনি উদ্বিগ্ন এবং ক্লান্ত বোধ করছেন তা পরিচালনা করার জন্য আপনি কি একটি ছোট পদক্ষেপ সনাক্ত করতে পারেন?,आपण चिंताग्रस्त आणि थकल्यासारखे वाटत आहे हे हाताळण्यासाठी आपण एक लहान पाऊल ओळखू शकता?,Kya aap ek chhota kadam pehchaan sakte hain jab aapko chinta aur thakan mehsoos ho rahi ho?
How does your body feel when you're thinking about your mood changes suddenly?,stress_relief,PMS mood swings,pre-period,जब आप अपने मूड में अचानक बदलाव के बारे में सोच रहे हैं तो आपका शरीर कैसा महसूस करता है?,திடீரென்று உங்கள் மனநிலை மாறுவதைப் பற்றி நீங்கள் சிந்திக்கும்போது உங்கள் உடல் எப்படி உணர்கிறது?,আপনি যখন হঠাৎ আপনার মেজাজ পরিবর্তনের কথা ভাবছেন তখন আপনার শরীর কেমন অনুভব করে?,जेव्हा आपण आपल्या मूडच्या अचानक बदलांबद्दल विचार करता तेव्हा आपल्या शरीराला कसे वाटते?,"Jab aap apne mood ke achanak badlaav ke baare mein sochte hain, toh aapka sharir kaisa mehsoos karta hai?"
What are 2 small actions you could take to feel better about you feel uncomfortable in your body?,stress_relief,Body image and self-esteem issues,menstruation,आपके शरीर में असहज महसूस करने के बारे में बेहतर महसूस करने के लिए आप 2 छोटे कार्य कर सकते हैं?,உங்கள் உடலில் சங்கடமாக இருப்பதைப் பற்றி நன்றாக உணர நீங்கள் எடுக்கக்கூடிய 2 சிறிய செயல்கள் யாவை?,আপনার শরীরে অস্বস্তি বোধ করার জন্য আপনি আরও ভাল বোধ করতে আপনি 2 টি ছোট ক্রিয়া কী কী?,आपल्या शरीरात अस्वस्थ वाटण्यासाठी आपण अधिक चांगले वाटण्यासाठी आपण कोणत्या 2 लहान कृती करू शकता?,Tumhare sharir mein agar asuvidha mehsoos ho rahi hai toh tumhe apne aapko behtar mehsoos karne ke liye do chote kadam kaunse utha sakte ho?
Can you identify a small step to handle youâ€™re not confident in how you look?,mood_reframe,Body image and self-esteem issues,post-period,क्या आप एक छोटे से कदम की पहचान कर सकते हैं कि आप इस बात से आश्वस्त नहीं हैं कि आप कैसे दिखते हैं?,நீங்கள் எப்படி இருக்கிறீர்கள் என்பதில் உங்களுக்கு நம்பிக்கை இல்லாததைக் கையாள ஒரு சிறிய படியை அடையாளம் காண முடியுமா?,আপনি কীভাবে দেখছেন তাতে আত্মবিশ্বাসী নন তা পরিচালনা করার জন্য আপনি একটি ছোট পদক্ষেপ সনাক্ত করতে পারেন?,आपण कसे दिसते याबद्दल आपल्याला आत्मविश्वास नाही हे हाताळण्यासाठी आपण एक लहान पाऊल ओळखू शकता?,Kya aap ek chhota kadam pehchan sakte hain jisse aap apne aapko dekhne mein confident na hone ka samna kar sakein?
What are 2 small actions you could take to feel better about you feel overwhelmed by emotional shifts?,body_acceptance,PMS mood swings,menstruation,भावनात्मक बदलावों से अभिभूत महसूस करने के लिए आप बेहतर महसूस करने के लिए 2 छोटे कार्य कर सकते हैं?,உணர்ச்சி மாற்றங்களால் அதிகமாக உணரப்படுவதை நீங்கள் நன்றாக உணர நீங்கள் எடுக்கக்கூடிய 2 சிறிய செயல்கள் யாவை?,সংবেদনশীল শিফট দ্বারা আপনি অভিভূত বোধ সম্পর্কে আপনি আরও ভাল বোধ করতে আপনি 2 টি ছোট ক্রিয়া কী কী?,भावनिक बदलांमुळे आपण भारावून गेलेल्या आपल्याबद्दल चांगले वाटण्यासाठी आपण कोणत्या 2 लहान कृती करू शकता?,Tum kya do chote kadam utha sakte ho jisse tumhe apne aap ko behtar mehsoos karne mein madad mile jab tum bhavnatmak parivartan se ghabrahat mehsoos karte ho?
